# time   X(t)     Y(t)      Z(t)
  0.00  10.000   12.000    25.000
  0.01  10.200   12.180    25.533
  0.02  10.398   12.310    26.095
  0.03  10.589   12.385    26.679
  0.04  10.769   12.401    27.279
  0.05  10.932   12.354    27.887
  0.06  11.074   12.243    28.494
  0.07  11.191   12.066    29.090
  0.08  11.279   11.824    29.664
  0.09  11.333   11.518    30.207
  0.10  11.352   11.152    30.707
  0.11  11.332   10.734    31.154
  0.12  11.272   10.269    31.539
  0.13  11.172    9.767    31.856
  0.14  11.031    9.239    32.097
  0.15  10.852    8.694    32.261
  0.16  10.636    8.145    32.344
  0.17  10.387    7.602    32.348
  0.18  10.108    7.074    32.275
  0.19   9.805    6.571    32.129
  0.20   9.482    6.101    31.917
  0.21   9.144    5.668    31.644
  0.22   8.796    5.278    31.318
  0.23   8.444    4.934    30.947
  0.24   8.093    4.635    30.539
  0.25   7.747    4.384    30.100
  0.26   7.411    4.177    29.637
  0.27   7.088    4.014    29.156
  0.28   6.780    3.892    28.663
  0.29   6.491    3.808    28.162
  0.30   6.223    3.760    27.659
  0.31   5.977    3.743    27.155
  0.32   5.753    3.756    26.655
  0.33   5.554    3.796    26.160
  0.34   5.378    3.860    25.673
  0.35   5.226    3.947    25.196
  0.36   5.098    4.054    24.730
  0.37   4.994    4.180    24.278
  0.38   4.912    4.324    23.839
  0.39   4.854    4.485    23.416
  0.40   4.817    4.663    23.009
  0.41   4.801    4.857    22.620
  0.42   4.807    5.066    22.250
  0.43   4.833    5.292    21.900
  0.44   4.879    5.534    21.572
  0.45   4.944    5.792    21.267
  0.46   5.029    6.067    20.986
  0.47   5.133    6.359    20.732
  0.48   5.256    6.669    20.505
  0.49   5.397    6.996    20.309
  0.50   5.557    7.341    20.145
  0.51   5.735    7.704    20.016
  0.52   5.932    8.085    19.924
  0.53   6.148    8.483    19.872
  0.54   6.381    8.898    19.864
  0.55   6.633    9.329    19.902
  0.56   6.902    9.772    19.990
  0.57   7.189   10.228    20.131
  0.58   7.493   10.691    20.330
  0.59   7.813   11.159    20.589
  0.60   8.148   11.626    20.911
  0.61   8.495   12.088    21.301
  0.62   8.855   12.536    21.760
  0.63   9.223   12.963    22.290
  0.64   9.597   13.360    22.891
  0.65   9.973   13.717    23.563
  0.66  10.347   14.022    24.302
  0.67  10.715   14.264    25.105
  0.68  11.070   14.432    25.964
  0.69  11.406   14.513    26.869
  0.70  11.717   14.497    27.808
  0.71  11.995   14.374    28.765
  0.72  12.233   14.139    29.722
  0.73  12.423   13.787    30.659
  0.74  12.560   13.319    31.554
  0.75  12.636   12.739    32.386
  0.76  12.646   12.057    33.132
  0.77  12.587   11.288    33.773
  0.78  12.457   10.448    34.293
  0.79  12.256    9.560    34.680
  0.80  11.987    8.646    34.927
  0.81  11.653    7.729    35.032
  0.82  11.260    6.832    34.999
  0.83  10.817    5.976    34.835
  0.84  10.333    5.177    34.552
  0.85   9.818    4.448    34.166
  0.86   9.281    3.798    33.691
  0.87   8.732    3.232    33.145
  0.88   8.182    2.750    32.544
  0.89   7.639    2.351    31.901
  0.90   7.110    2.029    31.230
  0.91   6.602    1.780    30.541
  0.92   6.120    1.594    29.844
  0.93   5.667    1.465    29.146
  0.94   5.247    1.386    28.452
  0.95   4.861    1.348    27.766
  0.96   4.510    1.346    27.091
  0.97   4.193    1.373    26.429
  0.98   3.911    1.426    25.782
  0.99   3.663    1.498    25.150
  1.00   3.446    1.588    24.534
  1.01   3.260    1.691    23.935
  1.02   3.103    1.807    23.352
  1.03   2.974    1.933    22.785
  1.04   2.870    2.069    22.235
  1.05   2.790    2.213    21.701
  1.06   2.732    2.367    21.184
  1.07   2.695    2.529    20.684
  1.08   2.679    2.701    20.201
  1.09   2.681    2.883    19.734
  1.10   2.701    3.076    19.285
  1.11   2.739    3.281    18.854
  1.12   2.793    3.498    18.441
  1.13   2.864    3.730    18.047
  1.14   2.950    3.978    17.673
  1.15   3.053    4.243    17.319
  1.16   3.172    4.527    16.987
  1.17   3.307    4.831    16.677
  1.18   3.460    5.157    16.392
  1.19   3.630    5.507    16.134
  1.20   3.817    5.883    15.903
  1.21   4.024    6.286    15.704
  1.22   4.250    6.717    15.538
  1.23   4.497    7.180    15.409
  1.24   4.765    7.674    15.321
  1.25   5.056    8.202    15.278
  1.26   5.371    8.763    15.285
  1.27   5.710    9.358    15.348
  1.28   6.075    9.987    15.473
  1.29   6.466   10.648    15.667
  1.30   6.884   11.339    15.938
  1.31   7.330   12.056    16.294
  1.32   7.802   12.793    16.743
  1.33   8.301   13.544    17.295
  1.34   8.826   14.297    17.958
  1.35   9.373   15.040    18.741
  1.36   9.939   15.758    19.650
  1.37  10.521   16.430    20.693
  1.38  11.112   17.035    21.870
  1.39  11.704   17.545    23.179
  1.40  12.289   17.934    24.615
  1.41  12.853   18.171    26.162
  1.42  13.385   18.225    27.800
  1.43  13.869   18.070    29.498
  1.44  14.289   17.681    31.218
  1.45  14.628   17.045    32.912
  1.46  14.870   16.156    34.527
  1.47  14.999   15.024    36.009
  1.48  15.001   13.672    37.302
  1.49  14.868   12.140    38.358
  1.50  14.595   10.479    39.141
  1.51  14.184    8.748    39.626
  1.52  13.640    7.011    39.810
  1.53  12.977    5.330    39.705
  1.54  12.213    3.758    39.338
  1.55  11.367    2.336    38.748
  1.56  10.464    1.091    37.980
  1.57   9.527    0.035    37.081
  1.58   8.578   -0.830    36.096
  1.59   7.637   -1.516    35.062
  1.60   6.721   -2.040    34.011
  1.61   5.845   -2.424    32.967
  1.62   5.018   -2.690    31.946
  1.63   4.248   -2.861    30.960
  1.64   3.537   -2.958    30.012
  1.65   2.887   -3.000    29.108
  1.66   2.298   -3.002    28.245
  1.67   1.768   -2.977    27.423
  1.68   1.294   -2.938    26.639
  1.69   0.871   -2.891    25.890
  1.70   0.495   -2.843    25.175
  1.71   0.161   -2.801    24.489
  1.72  -0.135   -2.767    23.832
  1.73  -0.399   -2.745    23.200
  1.74  -0.633   -2.737    22.592
  1.75  -0.844   -2.744    22.007
  1.76  -1.034   -2.767    21.443
  1.77  -1.207   -2.807    20.900
  1.78  -1.367   -2.865    20.377
  1.79  -1.517   -2.940    19.872
  1.80  -1.659   -3.034    19.387
  1.81  -1.797   -3.147    18.920
  1.82  -1.932   -3.278    18.472
  1.83  -2.066   -3.429    18.043
  1.84  -2.203   -3.601    17.633
  1.85  -2.342   -3.793    17.242
  1.86  -2.487   -4.007    16.871
  1.87  -2.639   -4.244    16.521
  1.88  -2.800   -4.505    16.192
  1.89  -2.970   -4.790    15.887
  1.90  -3.152   -5.102    15.605
  1.91  -3.347   -5.442    15.350
  1.92  -3.557   -5.811    15.123
  1.93  -3.782   -6.211    14.926
  1.94  -4.025   -6.643    14.763
  1.95  -4.287   -7.109    14.637
  1.96  -4.569   -7.611    14.551
  1.97  -4.873   -8.149    14.511
  1.98  -5.201   -8.725    14.521
  1.99  -5.553   -9.339    14.588
  2.00  -5.932   -9.991    14.717
  2.01  -6.338  -10.679    14.917
  2.02  -6.772  -11.401    15.196
  2.03  -7.235  -12.154    15.563
  2.04  -7.727  -12.932    16.027
  2.05  -8.247  -13.728    16.599
  2.06  -8.795  -14.531    17.289
  2.07  -9.369  -15.328    18.106
  2.08  -9.965  -16.101    19.059
  2.09 -10.578  -16.831    20.155
  2.10 -11.204  -17.493    21.398
  2.11 -11.833  -18.057    22.787
  2.12 -12.455  -18.494    24.316
  2.13 -13.059  -18.768    25.971
  2.14 -13.630  -18.845    27.730
  2.15 -14.151  -18.693    29.559
  2.16 -14.605  -18.286    31.416
  2.17 -14.973  -17.604    33.249
  2.18 -15.237  -16.642    34.998
  2.19 -15.377  -15.409    36.600
  2.20 -15.380  -13.933    37.994
  2.21 -15.236  -12.256    39.124
  2.22 -14.938  -10.439    39.948
  2.23 -14.488   -8.550    40.442
  2.24 -13.894   -6.662    40.602
  2.25 -13.171   -4.844    40.445
  2.26 -12.338   -3.157    40.004
  2.27 -11.420   -1.644    39.327
  2.28 -10.442   -0.334    38.466
  2.29  -9.432    0.762    37.475
  2.30  -8.412    1.648    36.404
  2.31  -7.406    2.339    35.295
  2.32  -6.432    2.855    34.180
  2.33  -5.503    3.224    33.085
  2.34  -4.630    3.472    32.025
  2.35  -3.820    3.624    31.011
  2.36  -3.076    3.702    30.045
  2.37  -2.398    3.728    29.130
  2.38  -1.785    3.718    28.264
  2.39  -1.235    3.686    27.444
  2.40  -0.743    3.642    26.667
  2.41  -0.304    3.596    25.928
  2.42   0.086    3.553    25.226
  2.43   0.432    3.520    24.556
  2.44   0.741    3.500    23.917
  2.45   1.017    3.495    23.305
  2.46   1.265    3.508    22.719
  2.47   1.489    3.540    22.157
  2.48   1.694    3.591    21.619
  2.49   1.884    3.663    21.104
  2.50   2.062    3.757    20.610
  2.51   2.231    3.872    20.138
  2.52   2.395    4.008    19.687
  2.53   2.557    4.167    19.258
  2.54   2.718    4.349    18.851
  2.55   2.881    4.554    18.467
  2.56   3.048    4.783    18.105
  2.57   3.222    5.037    17.768
  2.58   3.403    5.316    17.457
  2.59   3.595    5.622    17.172
  2.60   3.797    5.955    16.916
  2.61   4.013    6.316    16.692
  2.62   4.243    6.707    16.500
  2.63   4.490    7.128    16.344
  2.64   4.754    7.580    16.229
  2.65   5.036    8.064    16.156
  2.66   5.339    8.580    16.132
  2.67   5.663    9.128    16.159
  2.68   6.010    9.707    16.245
  2.69   6.379   10.316    16.396
  2.70   6.773   10.953    16.616
  2.71   7.191   11.615    16.915
  2.72   7.633   12.296    17.299
  2.73   8.100   12.990    17.777
  2.74   8.589   13.688    18.355
  2.75   9.098   14.379    19.041
  2.76   9.627   15.051    19.841
  2.77  10.169   15.685    20.761
  2.78  10.721   16.265    21.802
  2.79  11.275   16.767    22.965
  2.80  11.824   17.167    24.243
  2.81  12.358   17.439    25.626
  2.82  12.866   17.558    27.098
  2.83  13.336   17.499    28.634
  2.84  13.752   17.239    30.204
  2.85  14.101   16.764    31.770
  2.86  14.367   16.064    33.286
  2.87  14.537   15.144    34.707
  2.88  14.597   14.018    35.983
  2.89  14.539   12.712    37.069
  2.90  14.357   11.267    37.929
  2.91  14.048    9.729    38.535
  2.92  13.616    8.151    38.874
  2.93  13.069    6.589    38.947
  2.94  12.421    5.093    38.770
  2.95  11.689    3.704    38.369
  2.96  10.890    2.455    37.778
  2.97  10.047    1.365    37.038
  2.98   9.178    0.444    36.188
  2.99   8.305   -0.312    35.264
  3.00   7.443   -0.912    34.297
  3.01   6.608   -1.372    33.315
  3.02   5.810   -1.709    32.336
  3.03   5.058   -1.944    31.374
  3.04   4.358   -2.095    30.439
  3.05   3.712   -2.181    29.536
  3.06   3.123   -2.216    28.668
  3.07   2.589   -2.215    27.834
  3.08   2.109   -2.188    27.034
  3.09   1.679   -2.146    26.267
  3.10   1.297   -2.095    25.531
  3.11   0.957   -2.042    24.823
  3.12   0.657   -1.992    24.141
  3.13   0.392   -1.946    23.484
  3.14   0.159   -1.909    22.851
  3.15  -0.048   -1.882    22.238
  3.16  -0.232   -1.866    21.646
  3.17  -0.395   -1.862    21.073
  3.18  -0.542   -1.871    20.519
  3.19  -0.675   -1.892    19.981
  3.20  -0.796   -1.928    19.461
  3.21  -0.909   -1.976    18.958
  3.22  -1.016   -2.039    18.470
  3.23  -1.118   -2.115    17.998
  3.24  -1.218   -2.206    17.542
  3.25  -1.317   -2.311    17.101
  3.26  -1.416   -2.432    16.676
  3.27  -1.518   -2.568    16.265
  3.28  -1.623   -2.720    15.871
  3.29  -1.733   -2.890    15.492
  3.30  -1.848   -3.078    15.128
  3.31  -1.971   -3.285    14.782
  3.32  -2.103   -3.513    14.453
  3.33  -2.244   -3.762    14.141
  3.34  -2.395   -4.036    13.848
  3.35  -2.559   -4.334    13.576
  3.36  -2.737   -4.660    13.325
  3.37  -2.929   -5.015    13.097
  3.38  -3.138   -5.401    12.894
  3.39  -3.364   -5.821    12.720
  3.40  -3.610   -6.277    12.577
  3.41  -3.877   -6.771    12.468
  3.42  -4.166   -7.306    12.398
  3.43  -4.480   -7.883    12.372
  3.44  -4.820   -8.504    12.395
  3.45  -5.189   -9.171    12.474
  3.46  -5.587   -9.885    12.618
  3.47  -6.017  -10.646    12.833
  3.48  -6.480  -11.452    13.132
  3.49  -6.977  -12.301    13.524
  3.50  -7.509  -13.188    14.021
  3.51  -8.077  -14.105    14.637
  3.52  -8.680  -15.044    15.386
  3.53  -9.316  -15.988    16.282
  3.54  -9.983  -16.920    17.337
  3.55 -10.677  -17.815    18.564
  3.56 -11.391  -18.644    19.971
  3.57 -12.116  -19.373    21.562
  3.58 -12.842  -19.959    23.335
  3.59 -13.554  -20.358    25.275
  3.60 -14.234  -20.524    27.361
  3.61 -14.863  -20.410    29.553
  3.62 -15.418  -19.975    31.798
  3.63 -15.873  -19.190    34.030
  3.64 -16.205  -18.041    36.168
  3.65 -16.389  -16.537    38.127
  3.66 -16.403  -14.711    39.821
  3.67 -16.234  -12.625    41.172
  3.68 -15.873  -10.361    42.124
  3.69 -15.322   -8.015    42.645
  3.70 -14.591   -5.691    42.736
  3.71 -13.701   -3.484    42.427
  3.72 -12.680   -1.472    41.773
  3.73 -11.559    0.289    40.845
  3.74 -10.374    1.770    39.723
  3.75  -9.160    2.969    38.480
  3.76  -7.947    3.899    37.182
  3.77  -6.762    4.590    35.881
  3.78  -5.627    5.077    34.613
  3.79  -4.557    5.398    33.405
  3.80  -3.561    5.590    32.268
  3.81  -2.646    5.687    31.208
  3.82  -1.813    5.715    30.226
  3.83  -1.060    5.698    29.316
  3.84  -0.384    5.655    28.474
  3.85   0.220    5.600    27.693
  3.86   0.758    5.545    26.967
  3.87   1.236    5.497    26.290
  3.88   1.662    5.463    25.656
  3.89   2.043    5.448    25.063
  3.90   2.383    5.453    24.506
  3.91   2.690    5.482    23.982
  3.92   2.969    5.535    23.490
  3.93   3.226    5.614    23.028
  3.94   3.465    5.718    22.595
  3.95   3.690    5.848    22.191
  3.96   3.906    6.004    21.815
  3.97   4.116    6.185    21.468
  3.98   4.323    6.392    21.150
  3.99   4.530    6.625    20.862
  4.00   4.739    6.882    20.606
  4.01   4.953    7.163    20.382
  4.02   5.174    7.469    20.194
  4.03   5.404    7.798    20.042
  4.04   5.643    8.150    19.929
  4.05   5.894    8.524    19.857
  4.06   6.157    8.919    19.830
  4.07   6.433    9.333    19.850
  4.08   6.723    9.764    19.921
  4.09   7.027   10.209    20.047
  4.10   7.345   10.666    20.229
  4.11   7.677   11.130    20.473
  4.12   8.023   11.597    20.782
  4.13   8.380   12.060    21.158
  4.14   8.748   12.512    21.604
  4.15   9.124   12.947    22.123
  4.16   9.507   13.354    22.714
  4.17   9.891   13.723    23.378
  4.18  10.274   14.042    24.112
  4.19  10.651   14.302    24.912
  4.20  11.016   14.487    25.771
  4.21  11.363   14.588    26.680
  4.22  11.686   14.592    27.626
  4.23  11.977   14.490    28.594
  4.24  12.228   14.274    29.567
  4.25  12.432   13.940    30.524
  4.26  12.583   13.486    31.443
  4.27  12.674   12.918    32.302
  4.28  12.698   12.244    33.078
  4.29  12.653   11.477    33.750
  4.30  12.535   10.634    34.302
  4.31  12.345    9.738    34.721
  4.32  12.084    8.811    34.997
  4.33  11.757    7.877    35.128
  4.34  11.369    6.960    35.118
  4.35  10.928    6.082    34.973
  4.36  10.443    5.259    34.705
  4.37   9.925    4.506    34.328
  4.38   9.383    3.833    33.860
  4.39   8.828    3.245    33.317
  4.40   8.270    2.743    32.715
  4.41   7.717    2.326    32.069
  4.42   7.178    1.988    31.394
  4.43   6.659    1.725    30.699
  4.44   6.166    1.528    29.995
  4.45   5.702    1.389    29.290
  4.46   5.271    1.302    28.588
  4.47   4.874    1.258    27.894
  4.48   4.512    1.251    27.212
  4.49   4.186    1.274    26.542
  4.50   3.895    1.322    25.888
  4.51   3.637    1.391    25.249
  4.52   3.413    1.477    24.626
  4.53   3.219    1.578    24.020
  4.54   3.055    1.690    23.430
  4.55   2.919    1.813    22.857
  4.56   2.808    1.945    22.301
  4.57   2.722    2.085    21.760
  4.58   2.658    2.234    21.237
  4.59   2.616    2.392    20.730
  4.60   2.593    2.558    20.240
  4.61   2.590    2.733    19.766
  4.62   2.604    2.919    19.310
  4.63   2.636    3.116    18.871
  4.64   2.684    3.326    18.450
  4.65   2.748    3.549    18.047
  4.66   2.828    3.787    17.664
  4.67   2.924    4.041    17.300
  4.68   3.036    4.314    16.956
  4.69   3.163    4.606    16.635
  4.70   3.308    4.919    16.337
  4.71   3.469    5.256    16.064
  4.72   3.648    5.617    15.818
  4.73   3.845    6.006    15.601
  4.74   4.061    6.422    15.416
  4.75   4.297    6.869    15.266
  4.76   4.554    7.347    15.154
  4.77   4.833    7.859    15.084
  4.78   5.136    8.405    15.062
  4.79   5.463    8.985    15.092
  4.80   5.815    9.600    15.180
  4.81   6.194   10.250    15.334
  4.82   6.599   10.932    15.560
  4.83   7.032   11.643    15.866
  4.84   7.493   12.380    16.262
  4.85   7.982   13.136    16.756
  4.86   8.498   13.902    17.358
  4.87   9.038   14.667    18.076
  4.88   9.601   15.418    18.920
  4.89  10.183   16.135    19.895
  4.90  10.778   16.799    21.008
